id,estimate,actual,points
AIOT-634,18,12,15
AIOT-633,3,2,3
AIOT-632,6,8.58,9
AIOT-629,18,10,15
AIOT-627,12,5.5,6
AIOT-626,6,8,9
AIOT-625,3,7,3
AIOT-622,12,9,9
AIOT-608,6,3,3
AIOT-497,18,13,9
